ubicacion,date,rango_hora,cantidad_total,fin_de_semana
9Julio,2020-04-10,0 a 8,4092,False
9Julio,2020-04-10,16 a 24,7126,False
9Julio,2020-04-10,8 a 16,9253,False
9Julio,2020-04-11,0 a 8,4804,True
9Julio,2020-04-11,16 a 24,6189,True
9Julio,2020-04-11,8 a 16,11574,True
9Julio,2020-04-12,0 a 8,2516,True
9Julio,2020-04-12,16 a 24,6198,True
9Julio,2020-04-12,8 a 16,5286,True
9Julio,2020-04-13,0 a 8,8890,False
9Julio,2020-04-13,16 a 24,15798,False
9Julio,2020-04-13,8 a 16,29006,False
9Julio,2020-04-14,0 a 8,9436,False
9Julio,2020-04-14,16 a 24,16571,False
9Julio,2020-04-14,8 a 16,28768,False
9Julio,2020-04-15,0 a 8,9481,False
9Julio,2020-04-15,16 a 24,17752,False
9Julio,2020-04-15,8 a 16,31165,False
9Julio,2020-04-16,0 a 8,10412,False
9Julio,2020-04-16,16 a 24,19725,False
9Julio,2020-04-16,8 a 16,34359,False
9Julio,2020-04-17,0 a 8,10726,False
9Julio,2020-04-17,16 a 24,19872,False
9Julio,2020-04-17,8 a 16,35694,False
9Julio,2020-04-18,0 a 8,6225,True
9Julio,2020-04-18,16 a 24,8701,True
9Julio,2020-04-18,8 a 16,14389,True
9Julio,2020-04-19,0 a 8,3313,True
9Julio,2020-04-19,16 a 24,8081,True
9Julio,2020-04-19,8 a 16,6747,True
9Julio,2020-04-20,0 a 8,10948,False
9Julio,2020-04-20,16 a 24,19643,False
9Julio,2020-04-20,8 a 16,34411,False
9Julio,2020-04-21,0 a 8,10597,False
9Julio,2020-04-21,16 a 24,20386,False
9Julio,2020-04-21,8 a 16,35137,False
9Julio,2020-04-22,0 a 8,11346,False
9Julio,2020-04-22,16 a 24,19931,False
9Julio,2020-04-22,8 a 16,35248,False
9Julio,2020-04-23,0 a 8,11325,False
9Julio,2020-04-23,16 a 24,21116,False
9Julio,2020-04-23,8 a 16,38722,False
9Julio,2020-04-24,0 a 8,11447,False
9Julio,2020-04-24,16 a 24,21716,False
9Julio,2020-04-24,8 a 16,40970,False
9Julio,2020-04-25,0 a 8,6208,True
9Julio,2020-04-25,16 a 24,8645,True
9Julio,2020-04-25,8 a 16,15920,True
9Julio,2020-04-26,0 a 8,3345,True
9Julio,2020-04-26,16 a 24,8729,True
9Julio,2020-04-26,8 a 16,7778,True
9Julio,2020-04-27,0 a 8,11624,False
9Julio,2020-04-27,16 a 24,21475,False
9Julio,2020-04-27,8 a 16,42354,False
9Julio,2020-04-28,0 a 8,10302,False
9Julio,2020-04-28,16 a 24,16821,False
9Julio,2020-04-28,8 a 16,30454,False
9Julio,2020-04-29,0 a 8,10544,False
9Julio,2020-04-29,16 a 24,17901,False
9Julio,2020-04-29,8 a 16,32569,False
9Julio,2020-04-30,0 a 8,10182,False
9Julio,2020-04-30,16 a 24,20503,False
9Julio,2020-04-30,8 a 16,36142,False
9Julio,2020-05-01,0 a 8,3532,False
9Julio,2020-05-01,16 a 24,6986,False
9Julio,2020-05-01,8 a 16,8218,False
9Julio,2020-05-02,0 a 8,4997,True
9Julio,2020-05-02,16 a 24,7549,True
9Julio,2020-05-02,8 a 16,13058,True
9Julio,2020-05-03,0 a 8,2772,True
9Julio,2020-05-03,16 a 24,7767,True
9Julio,2020-05-03,8 a 16,6748,True
9Julio,2020-05-04,0 a 8,10438,False
9Julio,2020-05-04,16 a 24,19541,False
9Julio,2020-05-04,8 a 16,36914,False
9Julio,2020-05-05,0 a 8,11136,False
9Julio,2020-05-05,16 a 24,22705,False
9Julio,2020-05-05,8 a 16,42765,False
9Julio,2020-05-06,0 a 8,11709,False
9Julio,2020-05-06,16 a 24,25866,False
9Julio,2020-05-06,8 a 16,45176,False
9Julio,2020-05-07,0 a 8,12275,False
9Julio,2020-05-07,16 a 24,26589,False
9Julio,2020-05-07,8 a 16,46522,False
9Julio,2020-05-08,0 a 8,12800,False
9Julio,2020-05-08,16 a 24,27207,False
9Julio,2020-05-08,8 a 16,47878,False
9Julio,2020-05-09,0 a 8,6724,True
9Julio,2020-05-09,16 a 24,12272,True
9Julio,2020-05-09,8 a 16,19549,True
9Julio,2020-05-10,0 a 8,3742,True
9Julio,2020-05-10,16 a 24,11111,True
9Julio,2020-05-10,8 a 16,9529,True
9Julio,2020-05-11,0 a 8,12727,False
9Julio,2020-05-11,16 a 24,27133,False
9Julio,2020-05-11,8 a 16,47839,False
9Julio,2020-05-12,0 a 8,12960,False
9Julio,2020-05-12,16 a 24,27721,False
9Julio,2020-05-12,8 a 16,47876,False
9Julio,2020-05-13,0 a 8,12984,False
9Julio,2020-05-13,16 a 24,27107,False
9Julio,2020-05-13,8 a 16,48315,False
9Julio,2020-05-14,0 a 8,13081,False
9Julio,2020-05-14,16 a 24,27832,False
9Julio,2020-05-14,8 a 16,48594,False
9Julio,2020-05-15,0 a 8,13090,False
9Julio,2020-05-15,16 a 24,28818,False
9Julio,2020-05-15,8 a 16,51190,False
9Julio,2020-05-16,0 a 8,6996,True
9Julio,2020-05-16,16 a 24,12070,True
9Julio,2020-05-16,8 a 16,20114,True
9Julio,2020-05-17,0 a 8,3706,True
9Julio,2020-05-17,16 a 24,11423,True
9Julio,2020-05-17,8 a 16,9709,True
9Julio,2020-05-18,0 a 8,13094,False
9Julio,2020-05-18,16 a 24,25862,False
9Julio,2020-05-18,8 a 16,46448,False
9Julio,2020-05-19,0 a 8,12851,False
9Julio,2020-05-19,16 a 24,25550,False
9Julio,2020-05-19,8 a 16,47195,False
9Julio,2020-05-20,0 a 8,11569,False
9Julio,2020-05-20,16 a 24,25098,False
9Julio,2020-05-20,8 a 16,47098,False
9Julio,2020-05-21,0 a 8,11070,False
9Julio,2020-05-21,16 a 24,25731,False
9Julio,2020-05-21,8 a 16,48235,False
9Julio,2020-05-22,0 a 8,11127,False
9Julio,2020-05-22,16 a 24,28254,False
9Julio,2020-05-22,8 a 16,50346,False
9Julio,2020-05-23,0 a 8,6482,True
9Julio,2020-05-23,16 a 24,13001,True
9Julio,2020-05-23,8 a 16,22254,True
9Julio,2020-05-24,0 a 8,3212,True
9Julio,2020-05-24,16 a 24,9399,True
9Julio,2020-05-24,8 a 16,9411,True
9Julio,2020-05-25,0 a 8,3950,False
9Julio,2020-05-25,16 a 24,11915,False
9Julio,2020-05-25,8 a 16,12235,False
9Julio,2020-05-26,0 a 8,11990,False
9Julio,2020-05-26,16 a 24,24120,False
9Julio,2020-05-26,8 a 16,49430,False
9Julio,2020-05-27,0 a 8,12027,False
9Julio,2020-05-27,16 a 24,26617,False
9Julio,2020-05-27,8 a 16,50609,False
9Julio,2020-05-28,0 a 8,12122,False
9Julio,2020-05-28,16 a 24,29182,False
9Julio,2020-05-28,8 a 16,52678,False
9Julio,2020-05-29,0 a 8,12447,False
9Julio,2020-05-29,16 a 24,29959,False
9Julio,2020-05-29,8 a 16,49331,False
9Julio,2020-05-30,0 a 8,6461,True
9Julio,2020-05-30,16 a 24,11893,True
9Julio,2020-05-30,8 a 16,20874,True
9Julio,2020-05-31,0 a 8,3187,True
9Julio,2020-05-31,16 a 24,10856,True
9Julio,2020-05-31,8 a 16,9379,True
9Julio,2020-06-01,0 a 8,11295,False
9Julio,2020-06-01,16 a 24,26294,False
9Julio,2020-06-01,8 a 16,47138,False
9Julio,2020-06-02,0 a 8,11386,False
9Julio,2020-06-02,16 a 24,21451,False
9Julio,2020-06-02,8 a 16,47013,False
9Julio,2020-06-03,0 a 8,11338,False
9Julio,2020-06-03,16 a 24,27269,False
9Julio,2020-06-03,8 a 16,47072,False
9Julio,2020-06-04,0 a 8,11848,False
9Julio,2020-06-04,16 a 24,29269,False
9Julio,2020-06-04,8 a 16,51604,False
9Julio,2020-06-05,0 a 8,11886,False
9Julio,2020-06-05,16 a 24,28618,False
9Julio,2020-06-05,8 a 16,56698,False
9Julio,2020-06-06,0 a 8,5865,True
9Julio,2020-06-06,16 a 24,11872,True
9Julio,2020-06-06,8 a 16,21844,True
9Julio,2020-06-07,0 a 8,3012,True
9Julio,2020-06-07,16 a 24,10971,True
9Julio,2020-06-07,8 a 16,9816,True
9Julio,2020-06-08,0 a 8,9654,False
9Julio,2020-06-08,16 a 24,28048,False
9Julio,2020-06-08,8 a 16,53637,False
9Julio,2020-06-09,0 a 8,11632,False
9Julio,2020-06-09,16 a 24,28301,False
9Julio,2020-06-09,8 a 16,51074,False
9Julio,2020-06-10,0 a 8,11995,False
9Julio,2020-06-10,16 a 24,29484,False
9Julio,2020-06-10,8 a 16,53407,False
9Julio,2020-06-11,0 a 8,11686,False
9Julio,2020-06-11,16 a 24,30431,False
9Julio,2020-06-11,8 a 16,53726,False
9Julio,2020-06-12,0 a 8,12288,False
9Julio,2020-06-12,16 a 24,30727,False
9Julio,2020-06-12,8 a 16,57364,False
9Julio,2020-06-13,0 a 8,6739,True
9Julio,2020-06-13,16 a 24,13783,True
9Julio,2020-06-13,8 a 16,23248,True
9Julio,2020-06-14,0 a 8,3253,True
9Julio,2020-06-14,16 a 24,10997,True
9Julio,2020-06-14,8 a 16,10374,True
9Julio,2020-06-15,0 a 8,4224,False
9Julio,2020-06-15,16 a 24,13051,False
9Julio,2020-06-15,8 a 16,14373,False
9Julio,2020-06-16,0 a 8,12064,False
9Julio,2020-06-16,16 a 24,30226,False
9Julio,2020-06-16,8 a 16,54569,False
9Julio,2020-06-17,0 a 8,12163,False
9Julio,2020-06-17,16 a 24,29184,False
9Julio,2020-06-17,8 a 16,56190,False
9Julio,2020-06-18,0 a 8,12015,False
9Julio,2020-06-18,16 a 24,31722,False
9Julio,2020-06-18,8 a 16,55407,False
9Julio,2020-06-19,0 a 8,12217,False
9Julio,2020-06-19,16 a 24,29835,False
9Julio,2020-06-19,8 a 16,58612,False
9Julio,2020-06-20,0 a 8,5559,True
